idpive,naziv,postalkohola,boja,vrsta,distributerzarh,drzporjekla,envrijednost100ml,pivovara,idpakiranja,materijal,velicina
1,Heineken,5%,svijetlo,lager,Heineken Hrvatska d.o.o.,Nizozemska,42 kcal,Heineken International,4,staklena boca,"0,33L"
2,Paulaner,"5,5%",svijetlo,pšenično,Dolium d.o.o.,Njemačka,47 kcal,Paulaner Brewerei Gruppe GmbH & Co.,1,staklena boca,"0,5L"
3,Ožujsko ,5%,svijetlo,lager,,Hrvatska,52 kcal,Zagrebačka pivovara d.o.o.,1,staklena boca,"0,5L"
4,Karlovačko,5%,svijetlo,lager,,Hrvatska,56 kcal,Heineken Hrvatska d.o.o.,3,plastična boca,2L
5,Pan,5%,svijetlo,pilsner,,Hrvatska ,40 kcal,Carlsberg Croatia d.o.o.,2,limenka,"0,5L"
6,Grička vještica,"7,5%",tamno,doppelbock,,Hrvatska,45 kcal,Pivovara Medvedgrad d.o.o.,1,staklena boca,"0,5L"
7,Beck's,5%,svijetlo,pilsner,Zagrebačka pivovara d.o.o.,Njemačka,40 kcal,Brauerei Beck & Co.,2,limenka,"0,5L"
8,Laško,"4,9%",svijetlo,lager,Heineken Hrvatska d.o.o.,Slovenija,"40,6 kcal",Pivovarna Laško d.d.,1,staklena boca,"0,5L"
9,Grimbergen,6%,svijetlo,Witbier,Carlsberg Croatia d.o.o.,Belgija,51 kcal,Carlsberg Supply Complany,4,staklena boca,"0,33L"
10,Budweiser,5%,svijetlo,lager,Carlsberg Croatia d.o.o.,Češka,42 kcal,Budweiser Budwar,2,limenka,"0,5L"
11,Heineken,5%,svijetlo,lager,Heineken Hrvatska d.o.o.,Nizozemska,42,Heineken International,5,limenka,"0,4L"
12,Ožujsko,5%,svijetlo,lager,,Hrvatska,52 kcal,Zagrebačka pivovara d.o.o.,3,plastična boca,2L
13,Laško,"4,9%",svijetlo,lager,Heineken Hrvatska d.o.o.,Slovenija,"40,6 kcal",Pivovarna Laško d.d.,2,limenka,"0,5L"
